Influent Water,Details,Pond,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7
ALKALINITY AS CACO3,Alkalinity - Total Alkalinity as CaCO3,,,,,,,,24
AS,MS Total Metals - Arsenic,,,,,,,,<0.001
CO3 AS CACO3,Alkalinity - Carbonate Alkalinity as CaCO3,,,,,,,,<2
COLIFORM (C),Colilert (2000) - Coliform,,,,,,,,0
DOC,DOC (SFA) - Dissolved Organic Carbon,,,,,,,,3.5
E COLI(C),Colilert (2000) - E.coli,,,,,,,,0
EC,EC - Electrical Conductivity @ 25C,,,,,,,,200
FE,MS Total Metals - Iron,,,,,,,,0.03
HCO3 AS CACO3,Alkalinity - Bicarbonate Alkalinity as CaCO3,,,,,,,,24
HG,MS Total Metals - Mercury,,,,,,,,<0.0001
MN,MS Total Metals - Manganese,,,,,,,,0.11
NA,OES Scan - Sodium,,,,,,,,23
OH AS CACO3,Alkalinity - Hydroxide Alkalinity as CaCO3,,,,,,,,<2
PB,MS Total Metals - Lead,,,,,,,,<0.001
PH,pH - pH,,,,,,,,7.5
PLATE COUNT 36 C,Plate Count - Plate Count 36°C,,,,,,,,360
SILICA,"React. Silica - Silica, reactive as SiO2",,,,,,,,1
SUS SOLIDS,SS at 104+/- 2°C - Suspended Solids,,,,,,,,<2
TDS_180,TDS at 180°C +/- 5°C - Total Dissolved Solids,,,,,,,,100
TOC,TOC (SFA) - Total Organic Carbon,,,,,,,,3.6
TRUE COLOUR,ColourFilt - Colour (filt),,,,,,,,20
TURBIDITY,Turbidity - Turbidity,,,,,,,,<0.1
UV TRANS,"UV Trans254 - UV Transmission at 254 nm, 1 cm path",,,,,,,,79
W-CHLORIDE(DA),Chloride - Chloride,,,,,,,,52
W-HARDNESS,Hardness,,,,,,,,N/R
W-NO3-N,NO3-N - Nitrate as N,,,,,,,,0.4
W-SO4-DA,SO4 DA - Sulphate,,,,,,,,36
