Influent Water,Details,Min,Max,Estimated,Notes
ALKALINITY AS CACO3,Alkalinity - Total Alkalinity as CaCO3,0,37.4,Yes,Based on Influent Max + 10%
AS,MS Total Metals - Arsenic,0,0.01,Yes,Based on Influent Max + 10%
CO3 AS CACO3,Alkalinity - Carbonate Alkalinity as CaCO3,0,3,Yes,Based on Influent Max + 10%
COLIFORM (C),Colilert (2000) - Coliform,0,1320,Yes,Based on Influent Max + 10%
DOC,DOC (SFA) - Dissolved Organic Carbon,0,5.5,Yes,Based on Influent Max + 10%
E COLI(C),Colilert (2000) - E.coli,0,110,Yes,Based on Influent Max + 10%
EC,EC - Electrical Conductivity @ 25C,0,264,Yes,Based on Influent Max + 10%
FE,MS Total Metals - Iron,0,0.154,Yes,Based on Influent Max + 10%
HCO3 AS CACO3,Alkalinity - Bicarbonate Alkalinity as CaCO3,0,37.4,Yes,Based on Influent Max + 10%
HG,MS Total Metals - Mercury,0,0.001,Yes,Based on Influent Max + 10%
MN,MS Total Metals - Manganese,0,0.0407,Yes,Based on Influent Max + 10%
NA,OES Scan - Sodium,0,33,Yes,Based on Influent Max + 10%
OH AS CACO3,Alkalinity - Hydroxide Alkalinity as CaCO3,0,3,Yes,Based on Influent Max + 10%
PB,MS Total Metals - Lead,0,0.0022,Yes,Based on Influent Max + 10%
PH,pH - pH,5,8.47,Yes,Based on Influent Max + 10%
PLATE COUNT 36 C,Plate Count - Plate Count 36°C,0,374,Yes,Based on Influent Max + 10%
SILICA,"React. Silica - Silica, reactive as SiO2",0,1.65,Yes,Based on Influent Max + 10%
SUS SOLIDS,SS at 104+/- 2°C - Suspended Solids,0,9,Yes,Based on Influent Max + 10%
TDS_180,TDS at 180°C +/- 5°C - Total Dissolved Solids,0,143,Yes,Based on Influent Max + 10%
TOC,TOC (SFA) - Total Organic Carbon,0,5.5,Yes,Based on Influent Max + 10%
TRUE COLOUR,ColourFilt - Colour (filt),0,30.8,Yes,Based on Influent Max + 10%
TURBIDITY,Turbidity - Turbidity,0,0.66,Yes,Based on Influent Max + 10%
UV TRANS,"UV Trans254 - UV Transmission at 254 nm, 1 cm path",20,92.4,Yes,Based on Influent Max + 10%
W-CHLORIDE(DA),Chloride - Chloride,0,60.5,Yes,Based on Influent Max + 10%
W-HARDNESS,Hardness,0,41.8,Yes,Based on Influent Max + 10%
W-NO3-N,NO3-N - Nitrate as N,0,0.638,Yes,Based on Influent Max + 10%
W-SO4-DA,SO4 DA - Sulphate,0,40.7,Yes,Based on Influent Max + 10%
