Component,Sequence,LowLow,Low,OpLow,OpHigh,High,HighHigh
ttr101_temperature,sleep,,,10,30,,
ptc101_pressure,sleep,,,1,3.5,,
ttr101_temperature,wait,5,7,,,43,45
dsw101_position,wait,,0,,,,
lsw101_position,wait,,,,1,,
acp101_power,wait,,,,,2500,3000
tnk101_volume,wait,1,3,,,30,35
tnk102_volume,wait,1,3,,,63,65
ptc101_pressure,wait,,0.5,,,4,
ptc109_pressure,wait,0.8,0.9,,,1.1,1.2
trb101_temperature,wait,,,,,38,40
ctr101_temperature,wait,,,,,38,40
tnk102_volume,production,,,,,57,
ptc101_pressure,production,0.25,,,,4.25,
trb101_temperature,production,,,,,40,
ctr101_temperature,production,,,,,40,
ttr101_temperature,productionuvlampwarmup,5,7,,,43,45
dsw101_position,productionuvlampwarmup,,0,,,,
lsw101_position,productionuvlampwarmup,,,,,1,
acp101_power,productionuvlampwarmup,,,,,2500,3000
tnk101_volume,productionuvlampwarmup,1,3,,17,30,35
tnk102_volume,productionuvlampwarmup,1,3,,,63,65
ptc101_pressure,productionuvlampwarmup,0.25,0.5,,,4,4.25
ptc109_pressure,productionuvlampwarmup,0.8,0.9,,,1.1,1.2
flm101_pressurediff,productionuvlampwarmup,,,,,1.8,2
trb101_turbidity,productionuvlampwarmup,,,,,50,200
trb101_temperature,productionuvlampwarmup,5,7,,,38,40
ctr101_conductivity,productionuvlampwarmup,,,,,750,800
ctr101_temperature,productionuvlampwarmup,5,7,,,38,40
ctr101_tds,productionuvlampwarmup,,,,,250,500
uvi101_intensity,productionuvlampwarmup,,,,,15,20
uvm101_dose,productionuvlampwarmup,,,110,,,
ttr101_temperature,productioncipwatertankfill,5,7,,,43,45
dsw101_position,productioncipwatertankfill,,0,,,,
lsw101_position,productioncipwatertankfill,,,,,1,
acp101_power,productioncipwatertankfill,,,,,2500,3000
tnk101_volume,productioncipwatertankfill,1,3,7,17,30,35
tnk102_volume,productioncipwatertankfill,1,3,,57,63,65
ftr102_flowrate,productioncipwatertankfill,3,5,8,12,40,50
ppf101_speedpercentage,productioncipwatertankfill,,,5,95,,
ptc101_pressure,productioncipwatertankfill,0.25,0.5,,,4,4.25
ptc102_pressure,productioncipwatertankfill,0.075,0.1,0.5,2.5,2.75,3
ptc109_pressure,productioncipwatertankfill,0.8,0.9,,,1.1,1.2
ptc112_pressure,productioncipwatertankfill,,,,,0.1,0.15
flu101_tmp,productioncipwatertankfill,0.1,0.125,,,1.8,2
flu101_tcsf,productioncipwatertankfill,20,40,,,325,350
trb101_turbidity,productioncipwatertankfill,,,,,50,200
trb101_temperature,productioncipwatertankfill,5,7,,,38,40
trb102_turbidity,productioncipwatertankfill,,,,,0.1,0.15
trb102_temperature,productioncipwatertankfill,5,7,,,38,40
ctr101_conductivity,productioncipwatertankfill,,,,,750,800
ctr101_temperature,productioncipwatertankfill,5,7,,,38,40
ctr101_tds,productioncipwatertankfill,,,,,250,500
uvi101_intensity,productioncipwatertankfill,,,,,15,20
uvm101_dose,productioncipwatertankfill,100,105,110,,,
ttr101_temperature,productionpotablewatervolume,5,7,,,43,45
dsw101_position,productionpotablewatervolume,,0,,,,
lsw101_position,productionpotablewatervolume,,,,,1,
acp101_power,productionpotablewatervolume,,,,,2500,3000
tnk101_volume,productionpotablewatervolume,,7,,17,30,35
tnk102_volume,productionpotablewatervolume,1,3,,,63,65
ftr102_flowrate,productionpotablewatervolume,3,5,8,12,40,50
ftr103_flowrate,productionpotablewatervolume,3,5,,,40,50
ppf101_speedpercentage,productionpotablewatervolume,,,5,95,,
ptc101_pressure,productionpotablewatervolume,0.25,0.5,,,4,4.25
ptc102_pressure,productionpotablewatervolume,0.075,0.1,0.5,2.5,2.75,3
ptc109_pressure,productionpotablewatervolume,0.8,0.9,,,1.1,1.2
ptc111_pressure,productionpotablewatervolume,0,0,0.5,,,3
ptc112_pressure,productionpotablewatervolume,,,,,0.1,0.15
flm101_pressurediff,productionpotablewatervolume,,,0.5,1.5,1.8,2
flm102_pressurediff,productionpotablewatervolume,,,0.5,1.5,1.8,2
flm103_pressurediff,productionpotablewatervolume,,,0.5,1.5,1.8,2
flm105_pressurediff,productionpotablewatervolume,,,,,1.8,2
flu101_tmp,productionpotablewatervolume,0.1,0.125,,1.5,1.8,2
flu101_tcsf,productionpotablewatervolume,20,40,45,,325,350
uvi101_intensity,productionpotablewatervolume,,,,,15,20
uvm101_dose,productionpotablewatervolume,100,105,110,,,
ttc113_pressure,productionpotablewatervolume,,,,,4.5,7
